target,symbol_kind,system,distinct_symbols,documents_llm,documents_all,tokens_llm,measured,glyph_file,image_quality,outcome,transcription_notes
matignon1586,digits and symbols,"Homophonic substitution of graphic signs and figures for French letters, with a numeric nomenclator of common words and names (12 il, 13 qui, 14 que, 35 parce que, 76 le roi de Navarre).",87,13,13,12994,True,cipher_f143.txt; f110_cipher.txt; f123r_cipher.txt; f123v_cipher.txt; f124r_cipher.txt; f124v_cipher.txt; f143v_cipher.txt; f150_cipher.txt; f154_cipher.txt; f173_cipher.txt; f177_cipher.txt; f196_cipher.txt; f201_cipher.txt,fair; poor,read in part,"21 cipher lines after a clear first half; three passes; about two thirds read (f143_reading.md). Measured (measure.py, 22 Sept 2026): 59% of transcribed tokens read as sense (424/724); scrambled-key floor 11%, chance-corrected 54%; 21/21 lines transcribed. | 33 cipher lines, then clear close; same letter as the recto; roughly half reads (f143_reading.md). Measured (measure.py, 22 Sept 2026): 55% of transcribed tokens read as sense (654/1182); scrambled-key floor 8%, chance-corrected 51%; 33/33 lines transcribed. | 13 cipher lines over a clear letter; perhaps half reads as continuous French (f150_reading.md). Measured (measure.py, 22 Sept 2026): 42% of transcribed tokens read as sense (189/445); scrambled-key floor 4%, chance-corrected 40%; 13/13 lines transcribed. | 28 cipher lines; about half reads as continuous French (f154_reading.md). Measured (measure.py, 22 Sept 2026): 47% of transcribed tokens read as sense (501/1061); scrambled-key floor 8%, chance-corrected 43%; 28/28 lines transcribed. | 33 cipher lines; roughly half the words read (f173_reading.md). Measured (measure.py, 22 Sept 2026): 28% of transcribed tokens read as sense (306/1082); scrambled-key floor 8%, chance-corrected 22%; 33/33 lines transcribed. | 26 of 31 cipher lines transcribed (a part-line after ""auquel"" and 30 full lines on the image; the first three full lines and the 13th are not transcribed). About half the words read (f196_reading.md). Measured (measure.py, 22 Sept 2026): 45% of transcribed tokens read as sense (376/840); scrambled-key floor 6%, chance-corrected 41%; 26/31 lines transcribed. | 30 cipher lines. Aligned with f. 196: 57% of figures identical, 8 runs of 8+; shuffled control 12%. Perhaps two thirds read (f201_reading.md). Measured (measure.py, 22 Sept 2026): 46% of transcribed tokens read as sense (455/987); scrambled-key floor 7%, chance-corrected 42%; 30/30 lines transcribed. | First page transcribed in this hand; reads badly. f. 123r opens in clear before the cipher. Measured (measure.py, 22 Sept 2026): 21% of transcribed tokens read as sense (228/1097); scrambled-key floor 12%, chance-corrected 10%; 36/36 lines transcribed. | Reads in fragments at most; no coverage figure given. Measured (measure.py, 22 Sept 2026): 32% of transcribed tokens read as sense (403/1251); scrambled-key floor 12%, chance-corrected 23%; 41/41 lines transcribed. | Reads well (f123_124_reading.md), no coverage figure given. Measured (measure.py, 22 Sept 2026): 26% of transcribed tokens read as sense (314/1203); scrambled-key floor 12%, chance-corrected 16%; 35/35 lines transcribed. | Reads in fragments. Measured (measure.py, 22 Sept 2026): 19% of transcribed tokens read as sense (141/727); scrambled-key floor 12%, chance-corrected 8%; 22/22 lines transcribed. | 37 rows of the 54 lines transcribed; 41 distinct labels measured (f110_status.md says 42). Seeded solver moves 23 of 27 labels off the key: the transcription is internally inconsistent. Measured (measure.py, 22 Sept 2026): 10% of transcribed tokens read as sense (167/1699); scrambled-key floor 8%, chance-corrected 1%; 37/54 lines transcribed. | 29 cipher lines on the image (f177_reading.md says 28), 24 transcribed, smaller hand; about a third of the words read (f177_reading.md). Measured (measure.py, 22 Sept 2026): 24% of transcribed tokens read as sense (167/696); scrambled-key floor 14%, chance-corrected 12%; 24/29 lines transcribed."
matthias1482,symbols,"Letter substitution in invented graphic signs with homophones for the common letters, plus three name signs (Venetians, King Ferdinand, Matthias).",unknown,1,1,330,False,,unknown,already solved,"About 15 cipher runs, 'roughly 330 signs' per NOTES; no sign-by-sign ciphertext file was saved, so the count is not measured. The runs are given word by word with their readings in NOTES."
mellon136,symbols,"Pigpen-type alphabet (circle, two diagonals and a grid; cell shape = letter pair, dot = second letter) with ligature signs for ae, oe, ü, ch, ck, sch, ss, st, th, und and doubled letters; German, word division kept.",unknown,1,1,1670,True,ciphertext_values.txt,good,read,"Written as key values with ligature signs bracketed (transcription.txt); decode.py counts 1,545 signs in 31 passages. The measured letter count is higher because ligature signs stand for 2-3 letters."
mellon29,letters and symbols,"Letter strings with a few scribal signs, standing for the substances behind twelve zodiac cover names and for two recipe lists; not simple substitution, possibly polyalphabetic, a whole-name code, or invented pseudo-text.",27,1,1,234,True,ciphertext.txt,good,not read,"Sol recipe list (f. 1v), Luna recipe list (f. 2r) and 12-entry zodiac table (f. 2v); q/g distinction uncertain (Rec 2014 reads g where this transcription has q in two entries). Scribal signs kept as 3 (ʒ), 7 (et-sign), 9 (con-sign), B (ß). The pastedown copy is recorded but not counted. 'in' and 'cioe' are clear words inside the f. 2r list and are included in the count."
memoire1560,symbols,"Homophonic substitution in a cursive pseudo-script with word division, two-stroke units (zo=u, pp=m, s3=r, lz=d) and four whole-word codes (pour, roy, et, sieur).",41,1,1,1715,True,ciphertext.txt,fair,read,"Tokens are cipher words (the manuscript divides words with '/'); 9,497 signs in all. First pass by three agents, then a key-guided correction pass by four agents against the images (corrections_<fol>.tsv, about 300 x->r fixes)."
mercoeur1586,symbols,"Homophonic substitution with nomenclator signs (Greek letters, geometric signs, digits, Latin letters) in six runs inside a clear letter.",55,1,1,217,True,cipher.txt,good,not read,Six cipher runs; several sign identities uncertain.
mercoeur1587,symbols,"Homophonic substitution with a small nomenclator, in cipher runs interleaved with clear text.",70,1,1,952,True,f78_labels.txt,good,read,952 label tokens with nomenclator groups as one token; 998 signs counting group members singly (NOTES tally).
middelmore1563,digits and symbols,"Middelmore's own cipher: about 25 signs (dotted digits and symbols) for letters, words kept apart, and code signs (∞ = Newhaven). Not Smith's key R9261. Checked on passages (1),(2),(4),(6),(9) of 26 July against Forbes's printed text.",unknown,2,2,18,False,transcription_26jul.txt,good,already solved,46 numbered passages on ff.155-157; not transcribed (printed). The same record also holds the 26 July letter and the foot of f.157 (Smith 17 Jan 1562/3). | Image identical to R9246 image 3. 26 passages; only the passages used for the key check transcribed.
moncada1524,letters and symbols,"Homophonic substitution of invented signs for Spanish letters (2-5 signs for common letters), with a handful of code groups in Latin letters.",54,1,1,442,True,ct_tokens.txt,fair,already solved,"Low resolution: a few sign pairs (4 / H, 6 / delta, o variants) are not always separable, so some signs carry two values in KEY.md. The BNE full-resolution viewer is behind a Cloudflare challenge."
muxetula1531,symbols,"Luo Cifrario 22: homophonic sign alphabet with a few code signs (ba = Vuestra Magestad, sign for que, ll); Spanish.",unknown,1,1,unknown,False,,good,already solved,"About 90 cipher lines on scans 001-006, 009, 011-012, 017."
needham1587,symbols,"Three-grid pigpen: nine box shapes, plain / dot below / dot inside, alphabet a-i, k-s, t-z in order (u=v, no j); words divided. The Wilkes-Walsingham cipher (key in BL Add MS 5935 per CSP).",20,1,1,227,True,cipher.txt,good,read,261 tokens measured including 34 word-gap marks; about 27 of the 227 signs are glossed words kept for the key.
nevers1574,symbols,"Graphic substitution alphabet with special doubled-letter signs and nulls; close to, but not identical with, Nevers collection no. 2 of 1584.",unknown,2,2,unknown,False,f15_reading.md; f21_transcription.md,fair; good,read in part,"Cipher is sharp, but the much smaller interlinear decipherment is overwritten, crowded and locally faded. Secure opening and clear ending recorded; no continuous diplomatic transcription claimed. | Complete transcription; one short expression in the first sentence remains uncertain."
nevers1587,letters and symbols,"Clear letters with a few items in a homophonic letter-figure-symbol substitution with capitals for small words, figures and letters with a virgule for names, and invented signs as nulls (Nevers key book no. 11).",unknown,2,2,27,True,reading.tsv,good,read,"Three code numbers and a ten-sign dateline; counted as rows of reading.tsv (dec.py), since _check_profile.py --measure counts the label fields of ciphertext.txt too. | One code number and a 13-sign run; rows of reading.tsv."
nevers1595,digits and symbols,"Clear letter with 17 inserted runs of mixed figures (1 and 2 dominate) and about 45 other signs (Greek-like letters, crossed signs, italic letters). Clear code number 72 in the text.",54,1,1,753,True,ct_f148r.txt,good,not read,"First pass, one token per sign; the small circle (o) and the zero of '20' are not distinguished; marks over figures (dots) mostly not recorded. Lengths: 301 tokens on f. 148r (ct_f148r.txt) + 452 on ff. 148v-149r (ct_f148v_149r.txt)."
nino1522,letters and symbols,"Letter substitution in graphic signs with word spaces, and syllable-shaped nulls (mer, mor, pu, por) per Kolosova's Cifra 15; a double-barred cross sign follows many signs.",31,1,1,128,True,cipher_p2.txt,poor,not read,8 cipher lines on f. 1v; signs are about 12 px high and several pairs cannot be told apart reliably.
norfolk1570,digits and symbols,"Symbol alphabet (one sign per letter, f with two forms) with seven nulls and a word-sign nomenclator for common words and names.",unknown,1,1,unknown,False,,good,read,No symbol transcription file in the folder; the reading was made on the strips. 23 lines.
norreys1567,symbols,"Homophonic letter substitution with single signs for names, only sensitive words enciphered.",unknown,2,2,7,False,,good,read in part,"Three numbered items: two name signs and one five-sign word; counted by eye from transcription.txt. | Six sibling letters under the same system; ad hoc token names, some sign identities uncertain."
orbais,digits and symbols,"Tomokiyo's Nevers-Piles symbol alphabet with homophones and code signs for common words and titles, used for short runs in a clear French letter.",41,1,1,91,True,no62_cipher.txt,unknown,read in part,"no62_cipher.txt: the 14 cipher runs as sign tokens, 91 signs, measured with --measure --drop-first (22 Sept 2026). Replaces the glyph lists in solve.py."
pelissier1592,digits and symbols,"Homophonic alphabet of 2-7 signs per letter (symbols and some two-digit numbers), a few doubled-letter signs, vv = et, nulls, and rare three-digit code groups for names.",unknown,1,1,18451,True,t46r.txt,good,read in part,"Sum over the nine page files t46r-t50r.txt, each measured with --drop-first --skip '^\[\[' (clear passages dropped); NOTES give about 18,400 signs in 377 runs. Look-alike glyph families merged in passes 1-2 were split in pass 3 after calibration."
percy1559,symbols,"Pigpen-like box script with underline/dot modifiers and a few extra signs; not established whether letter substitution, name code or both.",19,1,1,63,True,transcription.txt,good,not read,"Four passages, 13 words; underline and dot marks read at high zoom; a tracing, so copying errors are possible."
poupet1522,digits and symbols,"Homophonic substitution of French in graphic signs and digits, no word division; five marked passages.",unknown,1,1,unknown,False,,fair,already solved,Only the first cipher line of passage A transcribed; decipherment sections A and b transcribed (M).
poyntz1527,symbols,Lee-Worcester sign cipher (1526-29): graphic-sign alphabet with word and name signs.,unknown,1,2,44,True,plaintext.txt,good,already solved,"Only the interlinear decipherment was transcribed; the sign cipher itself was spot-checked, not transcribed."
r1212,symbols,"Monoalphabetic homophonic cipher in graphic signs and digits (1-3 signs per letter), word division kept, with a tiny numeric nomenclator (34 Transsylvania, 27 Petrovics) and further unkeyed number codes.",unknown,1,1,288,False,none,good,read,Read in bands at half then full resolution by subagents; each run deciphered from the signs with key R1211 and compared with the gloss. Token counts hand-tallied from reading_p1-2.md and reading_p3-4.md (274 cipher words + 14 codes).
r1854,digits and symbols,"Three different homophonic substitutions in graphic signs with nulls, syllable signs (con, et, -rum) and a few name codes (P2, P3, P4-5); P1 a letter-like sign system not identified.",unknown,5,5,4694,True,ct_p1.txt; ct_p2.txt; ct_p3.txt; ct_p4.txt; ct_p5.txt,fair,read in part,"First pass by the model, second pass sign by sign by a subagent (p1v2.txt): 262 signs in 3 runs. | Two passes by the model at 2-5x; glyph splits (bold/dotted nabla, tailed/plain circle) found by the solver and checked in the image. | Gloss read by one subagent (p3_gloss.md), signs by a second (p3_signs.txt). | First pass by the model; second pass by a subagent against the image (209 edits). | Verso, image upside down; three cipher lines re-transcribed by a subagent."
R1942,digits and symbols,A numerical Dutch diplomatic nomenclator whose three-digit values are extended by superposed marks; the matching 1803 codebook is DECODE R1035.,1849,1,1,286,True,R1942_numeric_transcription.txt,fair,already solved,"The numeric values are transcribed, but the superposed marks remain preliminary; R1942_cipher_transcription_draft.txt is not a diplomatic transcription. The measured distinct count treats bare numeric groups as symbols and therefore collapses marked variants."
R1944,digits and symbols,"A numerical Dutch diplomatic nomenclator of one- to three-digit groups with superposed marks, attributed by DECODE to S. E. Croiset.",unknown,1,1,110,False,,fair,already solved,"Only the clear copy was transcribed; group count (about 110) estimated by eye from the two cipher images, not measured. Corrections: 'vertrek' -> 'renvoy', 'positiver' -> 'positiever' on second reading."
r2276,digits and symbols,"Tomokiyo's Nevers-Piles symbol alphabet: homophones for the common letters, nulls, and code signs for short words, titles and names.",59,1,1,3920,True,t1.txt,fair,read in part,"Water damage on the left of p. 2, torn right edge of p. 1 ll. 1-4 and 16-31, stains on p. 3. _check_profile.py --measure --drop-first gives 1632 + 1778 + 563 tokens incl. '...' damage markers; 3920 signs after merging the two-sign codes bb and 3Z (decode.py), the count used by measure.py. Two passes plus relabelling during six reading rounds. Pages in t2.txt and t3.txt."
r4157,symbols,"Homophonic substitution on graphic signs (Greek letters, digits, invented shapes), one to three signs per letter, a small nomenclator used also for syllables, and nulls that pad the start and end of the block.",73,1,1,289,True,tokens.txt,good,read,"Two passes: tokens_v1.txt (66 labels, several merged look-alikes), tokens.txt (73 labels, split against Tomokiyo's key)."
r4817,symbols,Graphic substitution on a five-line German alchemical note.,19,1,1,79,True,transcription.txt,good,read,"Five lines, 19 shape classes with neutral IDs; final E in GEFAE preserved. Full page 3409x4031; all 42 volume canvases visually surveyed."
r7707,symbols,"Cursive pseudo-letter signs (~27), one per plaintext unit, flat frequency profile (IoC 1.07), probably polyalphabetic.",27,1,1,205,True,ct.txt,good,not read,Own sign labels; counts agree closely with the contemporary tally on f. 40r. The faint run on line 4 was kept.
raince,symbols,"Monoalphabetic substitution in graphic signs with homophones for a e i o r u, three nulls and three word-signs (con, l'empereur, le pape).",unknown,1,1,5629,False,raince_cipher.txt,poor,read in part,"Counted by splitting raince_cipher.txt on ';' (the --measure tool reads each semicolon line as one token); distinct = 70 clusters, not true glyph types. 106 lines of about 50 glyphs."
randolph1570,symbols,"Word-divided substitution of Latin letters, figures and invented signs for English, homophones for common letters, a few signs for persons and phrases.",unknown,1,1,unknown,False,,good,already solved,"Five cipher runs, about 95 words. Several look-alike signs (plain/curly/barred x; 3 vs tailed 3) merged in the token transcription."
rangone1530,symbols,"Homophonic simple substitution for Italian with about 50 invented signs (vowels 2-8 signs, consonants 1-3), one null, no word division, no nomenclator found.",54,2,2,264,True,tokens.txt,good,read in part,"156 = lines A1-A6 of tokens.txt (264 total over both letters, measured with _check_profile --measure). | 108 = lines B1-B5 of tokens.txt."
rennes1563,letters and symbols,"Homophonic substitution on invented signs, two to eight per letter, with about thirty word-signs and a set of nulls that includes ordinary French words written in clear.",110,4,4,2035,True,c390_p139_v3.txt; c390_p357.txt; c392_p231n.txt; f55_v2.txt,good,read in part,"Thirteen ciphered lines between the clear 'c'est pour' and the clear 'Au demourant'. Transcribed glyph by glyph from region crops at native resolution; token boundaries are mine. Several r/s, e/o and l/t homophones are near identical in this hand and remain uncertain, chiefly on lines 2, 4, 8, 12 and 13. Re-transcribed 21 Sept 2026 as f55_v2.txt (402 tokens, candidate-annotated; measured). | 15 cipher lines below a clear opening; glyph tokens with candidate values. | 14 faint cipher lines, many nulls; transcribed from contrast-enhanced crops; p.138 facing is glossed in the same hand. | About 25 cipher lines; clear end of the letter on p.232."
rohan1636,digits and symbols,The two 1635 letters mix clear French with cipher bands of digits and invented signs; no 1635 key was verified.,unknown,2,2,unknown,False,,good,not read,Clear French copied provisionally; the cipher signs were not transcribed sign by sign. | Clear French copied provisionally; the cipher signs were not transcribed sign by sign.
rome1536,digits and symbols,"Homophonic substitution on digit-like graphic signs, one sign per letter, with doubled-letter signs, nulls and three two-digit code groups.",50,8,8,695,False,R4233.md; R4234.md; R4235.md; R4238.md; R4239.md; R4240.md; R4247.md; R4248.md,fair,read in part,"Line count is of cipher lines, not tokens; the readings file gives aliases per line. | About 250 cipher lines; 66 transcribed (P2, P3, P5, P6). | Two letters and a postscript in one record; read in passages (R4239.md P2-P15, R4239b.md P16-P30). | Two letters in one record, about 57 and 26 cipher lines. | A second, different fr. 3053 cipher; not Mâcon's key."
sadoleto1482,symbols,"Monoalphabetic substitution in graphic signs with a few homophones (a, e, n, o, r, t, u), word divisions kept, clear words mixed in, and some code groups.",unknown,4,4,unknown,False,,good; poor,read in part,"Key control on original final page, DECODE I5655 / Vestigia 1284 photo 105, aligns with clear-copy 7a page 3. Earlier p. 2 referred to image filename P2, not manuscript pagination. No complete token file or word-level collation. | Cipher on manuscript pp. 2, 3 and 4: seven-line bottom block, substantial facing-page material, and final-page cipher line. Coverage corrected 20 Sep 2026; still no complete symbol inventory. Possible partial page-4 interlinear plaintext requires verification. | Four-line cipher block badly faded. | Local R1106 p. 3 l. 3 / 26b alignment verifies X's referent; combined 26a/26b coverage of every cipher span remains unverified."
sanchez1522,letters and symbols,"Homophonic substitution alphabet with three nulls, plus a nomenclator of consonant-vowel-consonant code groups assigned in alphabetical order of the plaintext.",181,2,2,33,False,read_r9635.md; read_r9653.md,fair; good,read in part,"Only the two-line foot cipher paragraph of f. 299r is transcribed so far; the count is the resolved code groups in that paragraph, counted by hand from read_r9653.md, not measured by _check_profile.py. The six-line head cipher paragraph is faint with ink bleed and is not yet transcribed. | f. 20r is a full page of about 25 lines of cipher. Every line now carries a reading; the page is read throughout in substance while a scatter of spelled runs inside partially-read lines stays open. It is not a word-perfect diplomatic edition. The token count is of resolved code groups, counted by hand from edition/r9635_f20r.md, not measured by _check_profile.py."
sanchez1523,letters and symbols,"Homophonic substitution alphabet with three nulls, plus a nomenclator of consonant-vowel-consonant code groups assigned in alphabetical order of the plaintext.",181,10,10,unknown,False,,good,already solved,"Viewed; not transcribed. Duplicate of CSP 549. | Viewed; not transcribed. | Viewed; not transcribed. | Viewed; not transcribed. Marked 'es treslado de otro'. | Viewed; not transcribed. CSP match (no. 554) probable, not certain. | Not viewed page by page; identified by folio with CSP 558. | Not viewed page by page; identified by folio with CSP 558. | Clear text transcribed; the two cipher passages on f. 563r transcribed at code-group level, spelled runs only partly (read_r9767.md). Token count not measured. | Clear text read at sight for identification; not edited. | Duplicate of R9769 ('es treslado de otro'); short cipher passage not read."
scorpion,symbols,"Symbol substitution; S5 behaves like 16 alphabets in strict rotation, S1 weakly like five.",145,1,2,70,True,s1.txt,poor,not read,Filled-square and half-circle glyph families uncertain.
sega1593,symbols,"Catholic League polyphonic cipher: eleven glyphs each stand for two letters (a/n ... m/z), with signs for que, qui, pour and a few code signs.",unknown,2,2,unknown,False,,fair,not read,"c. 74 cipher lines; classifier top-1 0.73-0.79, hand reading c. 70 %. | 33 lines wholly in cipher. NOTES give c. 5,000 glyphs for the two letters together."
segura1596,letters and symbols,"Homophonic graphic-sign substitution, with two proposed nulls and a proposed special ll sign.",35,1,1,125,True,cipher_tokens.txt,good,read,Final eight runs: 125 tokens after splitting joined signs and adding the two-sign boundary at the comet introduction; six M values retained.
selve1535,letters and symbols,"Invented-sign simple substitution for French with a few homophones (a, e, l, u), nulls between doubled letters, and at least one name code.",unknown,2,2,2524,True,R3697_signs.txt; R4232_signs.txt,good; poor,read in part,"1076 = signs in R3697_signs.txt counted by stats.py (one character per sign, nulls and unread included). Struck runs are laid out as read letters plus ? to the agents' per-strip counts (about +-3 per line). | 1448 = signs in R4232_signs.txt counted by stats.py (one character per sign, nulls and unread included)."
sessa1523,letters and symbols,"The Sessa-Charles V nomenclator of 1523-25: three-letter code groups for words and syllables plus a letter alphabet with homophones, a clear/cipher switch sign and a null paragraph opener.",unknown,2,2,unknown,False,reading_f141.txt; unknown,good,read in part,"Only the second cipher paragraph of f. 141r transcribed. | Viewed and dated, not transcribed."
sessa1524,letters and symbols,"Mixed nomenclator: three-letter code groups for words, names and syllables plus single letters and signs for spelling, with a clear/cipher switch sign and a null paragraph opener.",unknown,1,1,unknown,False,transcription_f128.txt,unknown,read in part,"Nine cipher lines (eight on f. 128r, one on f. 128v); the duplicate ff. 130-131 is token-for-token the same. The transcription file mixes two passes and clear text, so it cannot be measured as it stands."
sessa1593,digits and symbols,"Spanish office cipher of 1592-93: two-digit numbers carry consonant-vowel syllables, a small homophonic symbol alphabet carries bare letters, diacritics add a final consonant, and two- and three-letter groups carry the nomenclature; no. 68 is a second cipher of the same office (Feria-Mansfeld, 1593) with three-letter word codes and higher figures.",133,4,4,53,False,ct45.txt; reading47.md; reading68.md; reading79.md,fair; good,read in part,"ct45.txt holds the first three lines transcribed group by group; the reading of 15 of the leaf's 17 lines is in reading45.md. | About 25 dense lines of cipher; 14 of 16 lines of the cipher block read, in reading79.md, not kept as a separate group-by-group file. | The glosses sit close to the paper tone; contrast stretching reads some lines cleanly and amplifies the laid-paper texture on the fainter ones. | A different cipher from the other three: the Feria-Mansfeld key, transcribed to keyM.tsv."
sloane3188,letters and symbols,"17th-century English stroke shorthand (Shelton/Rich family) with longhand names, Latin tags and dates.",unknown,1,1,unknown,False,,good,not a cipher,"Not transcribed; three pages viewed. Year is the latest date seen on the leaves (f. 137, 1595) and language is inferred from the English shorthand system; neither is established for all 23 records."
smith1562,digits and symbols,"Homophonic alphabet of symbols (a-m) and digits 2-10 marked bare/dot/colon (n-p, r-s, t-u-y), dotted-letter word codes, about 30 name symbols and a list of null words (English ports, 'and', 'bycause').",unknown,23,23,unknown,False,,good,read,"Letter to the Queen. Only the enciphered stretches, numbered by Forbes, are on the leaf; readings in decipher_A-D.md, not tokenised. | Letter to Cecil. Only the enciphered stretches, numbered by Forbes, are on the leaf; readings in decipher_A-D.md, not tokenised. | Letter to Cecil. Only the enciphered stretches, numbered by Forbes, are on the leaf; readings in decipher_A-D.md, not tokenised. | Letter to the Queen. Only the enciphered stretches, numbered by Forbes, are on the leaf; readings in decipher_A-D.md, not tokenised. | Letter to Cecil. Only the enciphered stretches, numbered by Forbes, are on the leaf; readings in decipher_A-D.md, not tokenised. | Letter to the Queen. Only the enciphered stretches, numbered by Forbes, are on the leaf; readings in decipher_A-D.md, not tokenised. | Letter to Cecil. Only the enciphered stretches, numbered by Forbes, are on the leaf; readings in decipher_A-D.md, not tokenised. | Letter to Cecil. Only the enciphered stretches, numbered by Forbes, are on the leaf; readings in decipher_A-D.md, not tokenised. | Letter to Cecil. Only the enciphered stretches, numbered by Forbes, are on the leaf; readings in decipher_A-D.md, not tokenised. | Letter to Cecil. Only the enciphered stretches, numbered by Forbes, are on the leaf; readings in decipher_A-D.md, not tokenised. | Letter to Cecil. Only the enciphered stretches, numbered by Forbes, are on the leaf; readings in decipher_A-D.md, not tokenised. | Letter to Cecil. Only the enciphered stretches, numbered by Forbes, are on the leaf; readings in decipher_A-D.md, not tokenised. | Letter to Cecil. Only the enciphered stretches, numbered by Forbes, are on the leaf; readings in decipher_A-D.md, not tokenised. | Letter to Cecil. Only the enciphered stretches, numbered by Forbes, are on the leaf; readings in decipher_A-D.md, not tokenised. | Letter to Cecil. Only the enciphered stretches, numbered by Forbes, are on the leaf; readings in decipher_A-D.md, not tokenised. | Letter to Cecil. Only the enciphered stretches, numbered by Forbes, are on the leaf; readings in decipher_A-D.md, not tokenised. | Letter to Cecil. Only the enciphered stretches, numbered by Forbes, are on the leaf; readings in decipher_A-D.md, not tokenised. | Letter to Cecil. Only the enciphered stretches, numbered by Forbes, are on the leaf; readings in decipher_A-D.md, not tokenised. | Letter to Cecil; 6 passages read, agree with Forbes. Readings in decipher_E.md, not tokenised. | Letter to Cecil; all 4 passages read, agree with Forbes. Readings in decipher_E.md, not tokenised. | Letter to Cecil; 6 passages read, agree with Forbes. Readings in decipher_E.md, not tokenised. | Letter to the Queen; read in full, agrees with CSP. Readings in decipher_E.md, not tokenised. | Smith's advertisements from France; mostly unread. Readings in decipher_E.md, not tokenised."
soria1523,letters and symbols,"Two keys, each a homophonic letter alphabet of signs plus three-letter lower-case code groups for common words and names.",unknown,11,11,unknown,False,,unknown,read in part,Key A. | Key A. | Key A. | Key B. | Key A. | Key A. | Key B. | Key B. | Key B. | Key B. | Key B.
sormano,symbols,"Homophonic substitution on symbols with special signs for cc and ll, a null, and a double-circle nomenclator sign for duca.",unknown,3,3,unknown,False,n63_transcription.md; n65_transcription.md; n66_transcription.md,unknown,read,"Transcription records decoded letters, not sign labels, so no count can be measured; 18,273 signs were segmented across the three letters (README). | Breaks off at the foot of f. 116v; final leaf not located."
sormano1529,symbols,"Homophonic symbol alphabet, about 36 forms for 20 values (Lasry 2023 key on Tomokiyo's francis.htm).",unknown,1,1,unknown,False,unknown,poor,read in part,50-60 px glyphs; homophone forms hard to separate
sp106r927,symbols,Homophonic pigpen: cell shape (with optional inner stroke) plus 1-3 dots; common letters have several signs.,unknown,1,1,unknown,False,hand_p3.txt,good,read in part,p. 3 hand-transcribed (450 signs); p. 1 fragments; p. 2 not transcribed
sperantio1534,symbols,"Homophonic substitution on a graphic sign set, no word division, a few signs carrying digraphs (ch, ck, sch) and three word signs; clear Latin passages left standing in the cipher.",153,2,2,4765,True,r9411/transcription_r9412.txt; r9411/transcription_v4.txt,fair; good,read in part,f.250v is photographed at a slant; look-alike signs merged in places.
spinelly1516,symbols,"Monoalphabetic substitution with invented signs (Greek and Latin letters for other values), word division kept, plus word signs for of, this, that, the Emperor and probably the King.",26,1,1,43,True,transcription.txt,good,read,Five lines on f. 40v; signs transcribed as look-alike Unicode characters.
stafford1586,digits and symbols,"Graphic-sign and letter-form alphabet with homophones and a null, plus two-digit codes for persons (47 King of Navarre, 59 Prince of Conde, 74 Duke of Guise).",20,1,1,28,True,ciphertext.txt,good,already solved,"Four short runs transcribed sign by sign with their interlinear glosses; the clear text was read for context, not transcribed in full."
stowe166,symbols,"Graphic-sign simple substitution of English, words divided, a few homophones (d/u share a sign, a/g), single signs for persons (9, n, pound sign), inserted as runs in clear English.",unknown,6,6,unknown,False,,good,read in part,Cipher lines read by context with the recovered key; no glyph-level transcription file. | Cipher lines read by context with the recovered key; no glyph-level transcription file. | Cipher lines read by context with the recovered key; no glyph-level transcription file. | Cipher lines read by context with the recovered key; no glyph-level transcription file. | Cipher lines read by context with the recovered key; no glyph-level transcription file. | Cipher lines read by context with the recovered key; no glyph-level transcription file.
throck1569,symbols,"Letter substitution of Latin-looking letters and invented signs for English, word division kept, a few homophones (a, b, e, i, o, u), single signs for persons (N = the Queen of Scots, L = your Lordship).",unknown,1,1,unknown,False,,good,already solved,"Water stain over the right half of ff. 79r and 80r fades the gloss, not the cipher."
throckmorton,digits and symbols,"The sampled Throckmorton passages use the archived third cipher: graphic and numeric homophones, marked-letter word signs, suffixes and nulls.",unknown,2,20,unknown,False,,good,already solved,"Numbered extract (6) transcribed: 27 tokens, 24 distinct labels, including 2 nulls, measured with _check_profile.py; whole-record length unknown. control.json and control_tokens.txt. | Opening of extract (1) sampled: 15 alphabet tokens, 14 distinct labels, measured with _check_profile.py; whole-record length unknown. control_9230.json and control_9230_tokens.txt."
toulon1803,digits and symbols,"A six-series bilingual Dutch/French numerical dictionary code, with the series selected by a superscript wave, caret, double stroke, overbar, plus, or no mark.",7,1,1,110,True,ciphertext.txt,good,offline only,"Three-digit figures under five kinds of mark (wave, caret, double stroke, overbar, plus) or none; one trailing dash. Re-transcribed 22 Sept 2026: ten readings of the 20 Sept transcription corrected."
ungnad1576,letters and symbols,"As given by Ungnad's key (Gévay copy, DECODE R392): one graphic sign per letter (q, x blank), eleven signs for German digraphs and doubled letters (ch, st, sch, ff, ss, ll, ä, ö, nn, rr, tt), a nomenclator of Latin cover words, numbers and signs for names and terms, and numbers written as letter groups. Whether the 1576 despatch uses this key is not yet checked.",unknown,1,1,unknown,False,,no images,offline only,No image of the despatch is online: the ÖStA Archivinformationssystem record for Türkei I 32-3 (ID 3855252) has no scans and no item-level entries; not on DECODE or HCPortal. 'cleartext_in_document: none' follows Láng's 'teljes' (wholly in cipher); five folios per the shelfmark. Language German per Láng's 'német?' and the German key; not observed.
