folder,proposed,recorded,flags,cls,attack,prior,title
middelmore1563,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,in print/during attempt,"Henry Middelmore to Secretary Cecil, 19 and 26 July 1563, BL Add MS 4136 ff. 155-157 (DECO"
milroy,read with known key,,,already solved,published key,online/before attempt,"Milroy cipher telegrams (Cox 3 Dec 1862, Bascom 4 Dec 1861): found solved by Richard Bean,"
moncada1524,key recovered based on plaintext from external sources,,"plaintext both adjacent and external: which one gave the key? | full prior solution in print, found before attempt | already solved elsewhere: independent re-solution?",already solved,known plaintext,in print/before attempt,"Hugo de Moncada to Charles V, Monaco, 6 October 1524 (BNE MSS/20213/12, DECODE R1191)"
moray,not solved,,,not read,ciphertext-only,no/not found,"Regent Moray to John Wood, Edinburgh, 13 July 1568 (BL Add MS 32091 f. 213)"
morosini1588,read with known key,,solver/crib steps worked: key extended or rebuilt?,read,published key,partial/before attempt,"Cardinal Morosini, legate in France, to Cardinal Montalto, 1588-89, 36 cipher enclosures ("
muxetula1531,read from existing decipherment,,,already solved,archive decipherment,in archive/before attempt,"Giovanni Antonio Muscetula (Rome) to Charles V, 24 Oct 1531, AGS Estado leg. 853 doc. 91 ("
napoleon,not solved,,,not read,none,unknown/during attempt,"Berthier to Napoleon, 22 December 1812 (with the unpublished letter to Marmont, 1807)"
needham1587,key recovered based on adjacent plaintext,,,read,crib,partial/during attempt,"Francis Needham to Walsingham, 28 July 1587, BL Harley MS 287 ff. 39-40 (DECODE R8479)"
nevers1574,read from existing decipherment,,,read in part,archive decipherment,partial/during attempt,"Henriette de Clèves and Renato Birago to the duke of Nevers, Lyon, September 1574, BnF fr."
nevers1587,read with known key,,"sibling key in inputs/steps: was the key tied to this document, or matched? | solver/crib steps worked: key extended or rebuilt?",read,key from archive,no/not found,"A correspondent at Randan to the duc de Nevers, 27 March and 4 April 1587 (BnF fr. 3975 ff"
nevers1588,key recovered based on adjacent plaintext,,,read,crib,no/not found,"Paris informant to Nevers, 29 April 1588 (BnF fr. 3976 fol. 62, DECODE R3705)"
nevers1589,not applicable,,,not a cipher,none,in archive/during attempt,"Intercepted enemy cipher letters summarised for Nevers, Sept-Oct 1589 (BnF fr. 3977 no. 96"
nevers1593,read with known key,,,read in part,key from archive,partial/before attempt,"Nevers to Pisany and to Revol, August-October 1593, BnF fr. 3985 and fr. 3986 (catalogue i"
nevers1595,not solved,,,not read,ciphertext-only,no/not found,"Nevers to Villeroy, Saint-Quentin, 16 August 1595 (BnF fr. 3993 no. 102, ff. 148-149)"
nino1522,not solved,,,not read,ciphertext-only,in print/before attempt,"Rodrigo Niño (Naples) to Charles V, 19 March 1522, one ciphered paragraph (BNE MSS/20213/2"
norfolk1570,read with known key,,"sibling key in inputs/steps: was the key tied to this document, or matched?",read,published key,partial/before attempt,"Mary Queen of Scots to the Duke of Norfolk, 'the 20th' [Feb or Mar 1570], BL Cotton MS Cal"
norreys1567,key recovered based on adjacent plaintext,,crib source not recorded | a sibling-key / key-from-source step worked: key may have been in hand,read in part,crib,partial/during attempt,"Sir Henry Norreys (Paris) to Cecil, 1567-68: ciphered words copied by Patrick Forbes, BL A"
nuncio1566,read with known key,,"sibling key in inputs/steps: was the key tied to this document, or matched?",read,published key,online/before attempt,"Cardinal Alessandrino to the nuncio in Spain, 1567 (ASV SdS Spagna 1; catalogue 261)"
nunzio1718,read with known key,,solver/crib steps worked: key extended or rebuilt?,already solved,key from archive,in archive/before attempt,"Segreteria di Stato (Rome) to the Nuncio in Spain, 24 ciphered despatches, 4 Jan 1718 - 6 "
nunzio1736,read with known key,,solver/crib steps worked: key extended or rebuilt?,already solved,key from archive,in archive/before attempt,"Segreteria di Stato (Rome) to the Nunciature in Spain, 11 ciphered despatches, 14 Jul - 22"
orbais,read with known key,,"sibling key in inputs/steps: was the key tied to this document, or matched? | solver/crib steps worked: key extended or rebuilt?",read in part,published key,partial/during attempt,"Cardinal Pellevé's secretary to Jean de Piles, abbé d'Orbais, Rome, 23 August 1589, BnF fr"
ormanetto1573,not solved,,,not read,ciphertext-only,unknown/unknown,"Ormanetto (nuncio in Spain) to Cardinal of Como, 1573: copy of Philip II's letter with two"
ormanetto1576,not solved,,,not read,ciphertext-only,unknown/unknown,"Ormanetto / Clementino, Spain nunciature to the Secretariat, 1576-77 (ASV Segr. Stato Spag"
ormonde,key recovered based on adjacent plaintext,,,read,crib,no/not found,"Maltravers to Ormonde, cipher passages of 13 Sept 1634 and 22 Jan 1634/5 (HMC Ormonde I, p"
orpo1942,not solved,,,not read,ciphertext-only,partial/before attempt,"Ordnungspolizei Doppelkasten radiograms, 1942 (Weierud 2020, NARA RG 457)"
ottobon,not solved,,,not read,ciphertext-only,no/not found,"Doge and Senate (subscribed Marco Ottobon) to Giovanni Mocenigo, 27 April 1589, BNE Mss/99"
pallotto1629,key recovered based on plaintext from external sources,,plaintext both adjacent and external: which one gave the key? | a sibling-key / key-from-source step worked: key may have been in hand | already solved elsewhere: independent re-solution?,already solved,crib,online/during attempt,"Pallotto to Barberini, 1629 - 28 ciphered despatches of the nuncio at Vienna (BAV, Barb.la"
palm1727,not solved,,,not read,ciphertext-only,unknown/not found,"Palm (London) to Starhemberg, German letter with ciphered passages, 1727 (BL Add MS 32270 "
papai1706,read with known key,,,read in part,key from archive,unknown/before attempt,"János Pápai (Constantinople) to Ferenc Rákóczi II, 1706-1710 (DECODE R731, R740, R741, R75"
pelissier1592,read with known key,,"sibling key in inputs/steps: was the key tied to this document, or matched?",read in part,published key,partial/before attempt,"A. Pelissier to Pierre Jeannin, Burgos, 13 September 1592 (BnF fr. 3982 no. 22)"
percy1559,not solved,,,not read,ciphertext-only,in archive/during attempt,"Sir Henry Percy to Cecil, Norham 23 July 1559 (BL Add MS 4136 f.172, DECODE R9256)"
perwich,key recovered from ciphertext-only,,plaintext recorded (unrelated source) | prior solution used | already solved elsewhere: independent re-solution?,already solved,ciphertext-only,online/during attempt,"William Perwich to Lord Arlington, Paris, 9 April 1670, TNA SP 78/129 f. 180"
potocka1714,key recovered from ciphertext-only,,,read in part,ciphertext-only,unknown/not found,Potocka and Mniszech to Jakub Dunin
poupet1522,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,in archive/during attempt,"Charles de Poupet, sieur de La Chaulx, to Charles V, Vitoria, 28 May 1522 (DECODE R1187)"
poyntz1527,read from existing decipherment,,,already solved,archive decipherment,in print/during attempt,"Ghinucci, Lee and Poyntz to Wolsey, Valladolid, July 1527 (BL Cotton MS Vespasian C IV ff."
prussia1702,not applicable,,,not a cipher,none,no/not found,"'Frederic, Re di Prussia' to an unknown recipient, BL Add MS 61575 f. 95 (DECODE R8774)"
r1212,read after matching with key from external sources,,,read,sibling key,in archive/before attempt,"Pál Bornemisza to Ferdinand I on the Kendi treason, Transylvania c. 1556 (DECODE R1212)"
r1818,not solved,,,not read,ciphertext-only,unknown/not found,"Homemade cipher sheet 'Sami', Folkrörelsearkivet i Västerbotten, Umeå (DECODE R1818)"
r1854,key recovered from ciphertext-only,,plaintext recorded (interlinear) | a sibling-key / key-from-source step worked | prior solution used,read in part,ciphertext-only,partial/before attempt,"Four cipher letters to Gianfrancesco Gonzaga, Rome and Forli 1428-1430 (DECODE R1854, Mant"
r1862,key recovered based on adjacent plaintext,,crib source not recorded | a sibling-key / key-from-source step worked: key may have been in hand,read,known plaintext,no/not found,"Unknown Venetian envoy to the Doge (Ser.mo Principe), 29 April 1628 (DECODE R1862)"
r1871,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,online/before attempt,"Venetian despatches in ASVe Busta 30: Alvise Mocenigo, Rome 25 Apr 1558 (DECODE R1873) and"
r1874,key recovered from ciphertext-only,,plaintext recorded (separate folio) | prior solution used | already solved elsewhere: independent re-solution?,already solved,ciphertext-only,in archive/during attempt,"Alvise Mocenigo (Madrid) to the Doge and Senate of Venice, 26 October 1628 (DECODE R1874)"
r1875,key recovered from ciphertext-only,,"plaintext recorded (interlinear, separate folio) | prior solution used | already solved elsewhere: independent re-solution?",already solved,ciphertext-only,in archive/during attempt,"Sebastiano Foscarini (Escorial) to the Doge and Senate of Venice, 13 October 1761 (DECODE "
r1892,key recovered from ciphertext-only,,,read in part,ciphertext-only,no/not found,"A son of William V to an officer of the Orange émigré troops, c. 1795 (KHA Prins Willem V "
R1942,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,in print/during attempt,"Dirk van Hogendorp to Maarten van der Goes, St Petersburg, 5 July 1803 (DECODE R1942)"
R1944,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,in archive/during attempt,"Etienne Bourdeaux to Maarten van der Goes, Berlin, 31 January 1801 (DECODE R1944)"
r2232,read with known key,,,read,key from archive,no/not found,"Wolff (The Hague) to Wilhelmina of Prussia, Princess of Orange, 25 Jul 1801 (KHA Wilhelmin"
r2234,read with known key,,,read,key from archive,no/not found,"An Orangist correspondent at Basle to William V, 17 Aug 1796 (KHA Prins Willem V inv. 339;"
r2242,read after matching with key from external sources,,,read in part,sibling key,partial/during attempt,"Prince Frederick of Orange to the Hereditary Prince, London, 7 May 1795 (KHA Koning Willem"
r2276,read with known key,,"sibling key in inputs/steps: was the key tied to this document, or matched? | solver/crib steps worked: key extended or rebuilt?",read in part,published key,partial/before attempt,"Letter from Reims, 19 June [1589], on the Reims chapter's postulation, in the Nevers-Piles"
r3708,read after matching with key from external sources,,,read,sibling key,no/not found,"Paris informant to the Nevers household, 6 and 9 June 1588 (BnF fr. 3976 fol. 133-134, DEC"
r4157,read with known key,,,read,published key,in archive/during attempt,"Catherine de Médicis to Villeroy, Chenonceau, 7–8 Feb 1581, BnF fr. 15564 ff. 30–34, ciphe"
r4349,read with known key,,,read in part,published key,in print/before attempt,"Uppsala UB C 513 (DECODE R4349): the ciphered colophon of the Strängnäs sequentiary, 1517,"
r4817,key recovered based on plaintext from external sources,,,read,crib,partial/before attempt,"Cipher flyleaf in Speculum sophicum rhodo-stauroticum, SCH R 201 (DECODE R4817)"
r688,not applicable,,,not a cipher,none,no/not found,"Serbian prisoner's letter, HHStA Verschwörerakten Fasc. 327 Konv. D ff. 30-31 (DECODE R688"
r7707,not solved,,,not read,ciphertext-only,no/unknown,"Pseudo-letter cipher letter, 1728, with contemporary worksheets (BL Add MS 32287 ff. 37-40"
r8356,not solved,,,not read,ciphertext-only,no/before attempt,"Walsingham letter-book, June 1571: Walsingham to Burghley with a cipher run and name codes"
r8358,not solved,,,not read,ciphertext-only,no/before attempt,"Burghley to Walsingham, Westminster 5 July 1572: name codes in a letter-book copy, BL Harl"
r8361,not solved,,,not read,ciphertext-only,no/before attempt,"Walsingham letter-book, Nov 1572: Burghley and Walsingham letters with name codes, BL Harl"
r8362,not applicable,,,not a cipher,ciphertext-only,in print/before attempt,"Walsingham letter-book, 24 Jan 1572/3: Burghley to Walsingham, clear letter with two boxed"
r8364,key recovered based on adjacent plaintext,,,read in part,crib,no/before attempt,"Walsingham letter-book, Feb 1572/3: Burghley to Walsingham, port name read as St Valery, B"
r8870,not solved,,,not read,ciphertext-only,unknown/not found,"Numeric code letter ending 'Duplicata', BL Add MS 32280 ff. 1-2 (DECODE R8870)"
r8871,not solved,,,not read,ciphertext-only,unknown/not found,"Trigram code fragment 'Suite du No 13 / No 24', BL Add MS 32280 f. 3 (DECODE R8871)"
r9658,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,in print/before attempt,"Lope Hurtado de Mendoza (Rome) to Charles V, 23 December 1522 (RAH 9/26 ff. 371-376, DECOD"
raince,read with known key,,solver/crib steps worked: key extended or rebuilt?,read in part,published key,partial/before attempt,"Nicolas Raince to Montmorency, Rome, 13 May and 20 Nov 1526, BnF fr. 2984 pp. 29-31 and p."
rakoczi1704,read with known key,,"sibling key in inputs/steps: was the key tied to this document, or matched? | solver/crib steps worked: key extended or rebuilt?",read,key from archive,partial/before attempt,"Letters to and from Ferenc Rákóczi II, 1707–1711 (DECODE R483, R852, R912, R922; catalogue"
rakoczi1707,read with known key,,"sibling key in inputs/steps: was the key tied to this document, or matched?",read in part,key from archive,no/before attempt,"Philippe Groffey (?) to Ferenc Rákóczi II (Pompeio Cesoni), 15 October 1707 (DECODE R902)"
randolph1570,read from existing decipherment,,key rebuilt from the decipherment? then adjacent/external plaintext,already solved,archive decipherment,in archive/during attempt,"Thomas Randolph to the Earl of Sussex, Edinburgh, 5 July 1570, BL Cotton MS Caligula C II "
rangone1530,key recovered from ciphertext-only,,,read in part,ciphertext-only,no/unknown,"Guido Rangone to Anne de Montmorency, Venice, 10 Jan 1530 (BnF fr. 3070 f. 81, DECODE R424"
rechteren1785,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,in archive/during attempt,"C. A. graaf van Rechteren (St Petersburg) to the Griffier / States General, 23 Sept / 4 Oc"
renard1554,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,in print/before attempt,"Simon Renard (London) to Prince Philip, 19 Feb 1554, AGS Estado leg. 808 f. 184 (DECODE R9"
rennes1563,read with known key,,solver/crib steps worked: key extended or rebuilt?,read in part,published key,partial/during attempt,"Catherine de Medicis to Bernardin Bochetel, bishop of Rennes, 31 July 1563"
richelieu,key recovered based on plaintext from external sources,,plaintext both adjacent and external: which one gave the key? | already solved elsewhere: independent re-solution?,already solved,crib,in print/after reading,"Richelieu to M. de Rancé, cipher letters of July 1629, BnF Français 3829 ff. 87 and 89"
riksarkivet1628,read from existing decipherment,,key rebuilt from the decipherment? then adjacent/external plaintext,read in part,archive decipherment,in archive/during attempt,Riksarkivet group of 14 DECODE records R4282-R4341 (catalogue item 207): Bremen 1631 read;
roell1809,not solved,,,not read,ciphertext-only,no/not found,"W. F. Röell (?) to F. G. van Dedem, 9 Feb 1809 (NA 1.02.04 legatie Turkije inv. 804; DECOD"
rohan1636,not solved,,,not read,none,no/not found,"Rohan papers and the Franco-Dutch correspondence, 1635–1636"
rome1536,read with known key,,"sibling key in inputs/steps: was the key tied to this document, or matched? | solver/crib steps worked: key extended or rebuilt?",read in part,published key,partial/during attempt,"Charles Hémard de Denonville, cardinal de Mâcon, Rome and Orvieto to Anne de Montmorency, "
ronquillo1676,key recovered based on adjacent plaintext,,a sibling-key / key-from-source step worked: key may have been in hand,read in part,known plaintext,partial/before attempt,"Salinas (London) and Ronquillo (Nijmegen) to Fuenmayor, 1676-78, DECODE R966-R984, R1001"
roosevelt,not applicable,,,not a cipher,ciphertext-only,no/not found,"Roosevelt cryptogram, 1935, numeric block (Schmeh Top 50 no. 17)"
rupert,not applicable,,,offline only,none,no/not found,"Maurice to Rupert, Worcester, 7 July 1645, and royalist intercepts, BL Add MS 72438 ff. 9-"
rupert1645,read after matching with key from external sources,,,read,sibling key,no/not found,"Charles I (Oxford) to Prince Rupert, 29 April 1645, BL Add MS 18983 f. 14 (DECODE R4921)"
sadler1543,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,in print/before attempt,"Sir Ralph Sadler (Edinburgh) to Henry VIII, 22 Apr 1543, BL Add MS 32650 ff. 214-216 (DECO"
sadoleto1482,key recovered based on adjacent plaintext,,a sibling-key / key-from-source step worked: key may have been in hand,read in part,known plaintext,partial/during attempt,"Nicolò Sadoleto, Ferrarese envoy to Matthias Corvinus, Pozsony 1482 (ASMo Ambasciatori Ung"
sanchez1522,read with known key,,solver/crib steps worked: key extended or rebuilt?,read in part,published key,in print/before attempt,"Alonso Sánchez (Venice) to Charles V, 1522 — RAH Salazar 9/23–9/26, DECODE R9593–R9657"
sanchez1523,read after matching with key from external sources,,,already solved,sibling key,in print/during attempt,"Alonso Sánchez (Venice) to Charles V, May–August 1523 — RAH Salazar 9/28, DECODE R9670–R97"
santacroce1552,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,in print/before attempt,"Prospero Santa Croce (nuncio in France) to Cardinal del Monte, 1553, ASV Francia 3 (DECODE"
sauli1579,read with known key,,,read,published key,in archive/before attempt,"Sauli and Riario (Portugal) to the papal Secretariat, 1579-81 (ASV Segr. Stato Portogallo "
schiner1516,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,in print/before attempt,"Cardinal Matthäus Schiner to Henry VIII, Trent, 14 June 1516, BL Cotton Vitellius B XIX f."
scorpion,not solved,,,not read,ciphertext-only,no/before attempt,"Scorpion letters S1 and S5, 1991 (Schmeh Top 50 no. 12)"
sega1593,not solved,,,not read,published key,no/not found,"Baudouin-Desportes to Aldobrandini and to Frachetta, Paris 22 July 1593, BnF fr. 3984 ff. "
segur,key recovered from ciphertext-only,,a sibling-key / key-from-source step worked | prior solution used,read,ciphertext-only,partial/before attempt,"Henry of Navarre to Ségur, BnF 500 de Colbert 401 ff. 233, 239, 288v, 333, 366 (1585-86)"
segura1596,key recovered from ciphertext-only,,,read,ciphertext-only,no/not found,"Matheo de Segura to the Constable of Castile, 8 August 1596"
selve1535,read with known key,,solver/crib steps worked: key extended or rebuilt?,read in part,published key,partial/before attempt,"Georges de Selve, bishop of Lavaur, French ambassador at Venice, to Francis I, 14 Sept 153"
sessa1523,read after matching with key from external sources,,,read in part,sibling key,partial/during attempt,"Duke of Sessa to Charles V, Sessa and Rome, Feb-Apr 1523, RAH Salazar A-27 (9/27) (DECODE "
sessa1524,read after matching with key from external sources,,,read in part,sibling key,no/not found,"Duke of Sessa to Charles V, Rome, 18 April 1524, RAH Salazar A-31 (9/31) ff. 128-131 (DECO"
sessa1593,read with known key,,"sibling key in inputs/steps: was the key tied to this document, or matched?",read in part,key from archive,partial/during attempt,"Spanish despatches of 1593: Miranda to Feria, Sessa to Ibarra, Sessa to Philip II, Ibarra "
sloane3188,not applicable,,,not a cipher,none,no/not found,"BL Sloane MS 3188, ff. 109-169: shorthand notes on John Dee's spirit actions (DECODE R8506"
smith1562,read with known key,,solver/crib steps worked: key extended or rebuilt?,read,key from archive,in print/during attempt,"Sir Thomas Smith (France) to Cecil and the Queen, 1562/3-1566: 18 ciphered passages copied"
soglia1848,key recovered from ciphertext-only,,,read,ciphertext-only,no/not found,"Cardinal Soglia to nuncio Viale Prelà, Rome 15 June 1848, printed in L'Italia del Popolo n"
soria1523,read after matching with key from external sources,,,read in part,sibling key,no/not found,"Lope de Soria (Genoa) to Charles V and Gattinara, 1523, RAH Salazar A-28 (9/28), DECODE R9"
soria1527,read from existing decipherment,,,already solved,archive decipherment,in archive/during attempt,"Lope de Soria (Mirandola) to Charles V, 13 Dec 1527, RAH Salazar 9/17 ff. 31-34 (DECODE R9"
sormano,read with known key,,solver/crib steps worked: key extended or rebuilt?,read,published key,partial/before attempt,"Sormano and de Vaulx to François I, Ferrara, February 1529, BnF fr. 3096 nos. 63, 65, 66"
sormano1529,read with known key,,attack 'unknown',read in part,unknown,partial/during attempt,"Sormano and de Vaulx (Passano) from Ferrara to Francois I, Feb 1529, BnF fr. 3096 nos. 63,"
sp106box10,read with known key,,solver/crib steps worked: key extended or rebuilt?,read in part,key from archive,in archive/during attempt,"TNA SP 106/10: a codebreaker's file of Italian intercepts and worksheets, c. 1623-24 (DECO"
sp106r597,not solved,,"attack none, class read: what did the work add?",read,none,partial/before attempt,"Instructions for the cipher with Baron Stosch and Mr Walton, TNA SP 106/7 (DECODE R597)"
sp106r927,read with known key,,attack 'unknown',read in part,unknown,no/unknown,"Unknown writer to 'Monsieur', 17th c., French homophonic pigpen, TNA SP 106/10 ff. 241-243"
sp53,not solved,,,not read,ciphertext-only,no/not found,Mary Queen of Scots papers residue: TNA SP 53/16 nos. 78 and 79 and SP 53/22 f. 52
spaen1808,not solved,,,not read,none,unknown/not found,"G. C. van Spaen (Düsseldorf) to M. van der Goes, 14 and 15 Jan 1808 (NA 2.01.08 inv. 281; "
sperantio1534,read from existing decipherment,,key rebuilt from the decipherment? then adjacent/external plaintext,read in part,archive decipherment,partial/during attempt,"King John of Hungary and an agent at Buda to the dukes of Bavaria, 1534: the Sperantio fil"
spinelly1516,key recovered based on adjacent plaintext,,crib source not recorded,read,crib,partial/after reading,"Thomas Spinelly to Henry VIII, Brussels, 1 February 1517 (BL Cotton MS Galba B V ff. 40-41"
stafford1586,read from existing decipherment,,key rebuilt from the decipherment? then adjacent/external plaintext,already solved,archive decipherment,in archive/during attempt,"Sir Edward Stafford (Paris) to Sir Francis Walsingham, 19 September 1586 (BL Harley MS 158"
stepney,not applicable,,,offline only,ciphertext-only,no/not found,"George Stepney to the Earl of Manchester, Vienna, 23 March 1702 (Yale OSB MSS fc37; DECODE"
stowe166,key recovered based on adjacent plaintext,,,read in part,crib,unknown/not found,"[Thomas Edmondes] to Lord Treasurer Burghley, 1592-1594, BL Stowe MS 166 (DECODE R7770-R77"
sunyatsen,key recovered from ciphertext-only,,,read,ciphertext-only,no/not found,"Telegram to Sun Yat-sen, Swatow to Tokyo, 3 April 1916 (JACAR B03050738800)"
superscript,not applicable,,,offline only,none,partial/before attempt,"1520s superscript-digit ciphers (Worcester 1526/1529, Gilino 1527, Garbino 1528)"
swieten1757,key recovered from ciphertext-only,,plaintext recorded (separate paragraph) | prior solution used,read,ciphertext-only,partial/during attempt,"Gottfried van Swieten (Bonn) to Count Cobenzl, 1757-59, three despatches with ciphered pas"
throck1560,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,in print/during attempt,"Throckmorton to Cecil (8 Feb) and to the Lords of the Council (20 Feb 1560), BL Add MS 413"
throck1569,read from existing decipherment,,,already solved,archive decipherment,in print/before attempt,"Sir Nicholas Throckmorton to the Regent Moray, Greenwich, 20 July 1569, BL Add MS 33531 ff"
throckmorton,read with known key,,,already solved,key from archive,in print/before attempt,Throckmorton ciphertexts in BL Add MS 4136
thurloe,not solved,,,not read,ciphertext-only,no/not found,"Four undeciphered intercepts in the Thurloe State Papers, 1653-56 (Birch 1742; cryptiana u"
toledo1565,key recovered based on adjacent plaintext,,,read,crib,no/not found,"García de Toledo to Philip II, 16 July 1565 (Great Siege of Malta), AGS Estado leg. 1394 n"
toulon1803,not applicable,,,offline only,key from archive,no/not found,"Lodewijk van Toulon to Dirk van Hogendorp, 30 July 1803 (NA 1.02.13 inv. 208; DECODE R2034"
ungnad1576,not applicable,,,offline only,none,no/not found,"David Ungnad, imperial ambassador at Constantinople, to Maximilian II, 12 March 1576: a de"
urquhart,key recovered based on plaintext from external sources,,"plaintext both adjacent and external: which one gave the key? | full prior solution online, found before attempt",read in part,known plaintext,online/before attempt,"Sir Thomas Urquhart's Cyphral Octastich (The Jewel, 1652) and Cyphral Distich"
vanreede1787,read with known key,,"sibling key in inputs/steps: was the key tied to this document, or matched? | solver/crib steps worked: key extended or rebuilt?",read in part,key from archive,partial/during attempt,"Dispatches of A. W. C. van Reede from Berlin, 1787–1793"
vanreede1792,read with known key,,"sibling key in inputs/steps: was the key tied to this document, or matched?",read,key from archive,partial/before attempt,"Van Reede to William V, Berlin 4 Feb 1792 (DECODE R1057)"
vargas1552,read from existing decipherment,,"attack none, class already solved: what did the work add?",already solved,none,online/before attempt,"Francisco de Vargas (Venice) to Charles V, 25 August 1552 (AGS Estado leg. 1320 ff. 35-38,"
vasto1527,read with known key,,,read in part,published key,online/during attempt,"Marquis del Vasto to Charles V and the letter to ""Garbino"", 1527-28, BnF fr. 3022 nos. 6, "
vatican5,key recovered from ciphertext-only,,plaintext recorded (unrelated source) | already solved elsewhere: independent re-solution?,already solved,ciphertext-only,online/during attempt,"Vatican Challenge Part 5: Cardinal Alessandro Farnese to the nuncio Giovanni Poggio, Rome "
vetesi1705,read from existing decipherment,,,already solved,archive decipherment,in archive/before attempt,"László Vetési Kökényesdi (as Cassimirus Miloftzki) to Ferenc Rákóczi II, 9 January 1706 (R"
vich1511,read after matching with key from external sources,,,read in part,sibling key,unknown/during attempt,"Ferdinand the Catholic to Jerónimo de Vich, AHN Estado 8715 N.45 (1511), N.57, N.60 (1512)"
vieuville1587,not solved,,,not read,key from archive,no/not found,"Nevers to La Vieuville, St-Aignan, 30 Sept 1587 (BnF fr. 3975 fol. 101, DECODE R4289)"
visconti1528,read with known key,,,read in part,published key,online/before attempt,"Galeazzo Visconti to Anne de Montmorency, Campo a Landriano, 30 Aug 1528, BnF fr. 3034 f. "
visconti1529,read with known key,,,read,published key,online/before attempt,"Galeazzo Visconti to Angelo Bolano (Alessandria, 15 Oct 1528) and to Francis I (pieve de L"
visconti1727,not applicable,,,not a cipher,none,in archive/during attempt,"The Visconti Italian cipher, Brussels-London 1727, BL Add MS 32270 f. 42 (DECODE R7931)"
walsingham1572,not solved,,,not read,ciphertext-only,no/during attempt,"Walsingham to Burghley, Paris, 20 January 1572/3, letter-book copy, BL Harley MS 260 ff. 3"
walsingham1572nov,not solved,,,not read,ciphertext-only,no/during attempt,"Walsingham to Burghley, Paris, 12 November 1572, letter-book copy, BL Harley MS 260 ff. 36"
walsingham1585,read from existing decipherment,,key rebuilt from the decipherment? then adjacent/external plaintext,read in part,archive decipherment,partial/during attempt,"Walsingham to Edward Wotton, ambassador in Scotland, 28 Jul - 10 Sep 1585, BL Add MS 32657"
warsaw,key recovered from ciphertext-only,,,read,ciphertext-only,no/not found,"Warsaw, 24 Dec 1627, to the Bishop of Olmütz? (DECODE R1408, ÖStA HHStA)"
wesselenyi1664,key recovered from ciphertext-only,,a sibling-key / key-from-source step worked,read,ciphertext-only,no/not found,"Ferenc Wesselényi to Leopold I(?), cipher passages in a Latin draft, c. 1663-64 (DECODE R6"
windischgraetz1720,read with known key,,,read,key from archive,no/not found,"Charles VI to Count Leopold Viktorin Windischgrätz, four letters, Vienna 3 Feb 1720 - 11 A"
windischgraetz1721,read with known key,,,read in part,key from archive,no/before attempt,"Windischgraetz brothers, Brussels, 18 Nov 1721 (DECODE R5029)"
wod1568,key recovered based on adjacent plaintext,,crib source not recorded,read in part,known plaintext,no/not found,"Catalogue 97: unidentified ciphers on BL Add MS 4136 ff. 32-33 (DECODE R2988 margin, R2989"
wotton1585,not solved,,"attack none, class read: what did the work add?",read,none,unknown/not found,"Edward Wotton (Scotland) to Walsingham, drafts of 25 Aug, 30 Aug and 1 Sep 1585 (DECODE R4"
yard1699,read with known key,,,read,key from archive,partial/before attempt,"Robert Yard to the Earl of Manchester, Whitehall, 12 and 16 Oct 1699 (Beinecke OSB MSS fc3"
zeschau1841,not solved,,,not read,ciphertext-only,partial/during attempt,"Zeschau (Dresden) to Seebach (St Petersburg), ciphered despatches 1841-1843 (HStAD 10731 N"
zhongshan,not solved,,,not read,published key,partial/before attempt,Telegrams from the sunken gunboat Zhongshan (c.1938)
gallica_sweep/mondoucet,key recovered based on adjacent plaintext,,plaintext both adjacent and external: which one gave the key? | a sibling-key / key-from-source step worked: key may have been in hand,read in part,known plaintext,partial/after reading,"Claude de Mondoucet to Charles IX from the Low Countries, 13 July 1572, 4 Jan 1573 and 9 S"
