line	transcribed_sign_units	grade	normalized_reading	source_transcription
155v.20	34	I	par ung double que vous envoie, qu'ils intitulent	Q zord h:zooWx Tzox Je xrio:ex feS DrQdQzoWxrQ
155v.21	32	I	l'edict faict par Dieu le pere, combien	WxffhifQ 7+ifQ H+S hixzo Wx HxSx f:ppdixr
155v.22	26	I	que croy qu'il vous en a esté envoyé	Tzox fS:e TzoiW Je xr e xmQx S xrzo:e
155v.23	10	I	d'ailleurs.	h+iWWixioSm
155v.24	28	I	Estant ce porteur prest a monter a	ffmQ+rQ fx H:SQxzoS HSxmQ + pp:rQxS +
155v.25	31	I	cheval, ay receu une lettre escripte	fgxzo+W +e Sxfxzo zorx WxSQSx xmifS.HQx
155v.26	27	I	et signee par ung bourgeois de la	i+ nnDdxxff H+S zordS d:zoSdx:dnn hx W+
155v.27	35	I	ville d'Agen, homme digne de foi, sur laquele	zoDWWx h+dxr g:ppx hidrx hx 7:e mizoSW+TzoxWx
155v.28	27	I	vostre grandeur peult prendre	zo:nnQSx dS+rhxzoS HxzoWQ HSxrhSx 7
156r.01	29	I	fondement, et s'il vous plaist prendre	73xrhxppxrQ  i+ mDW Je HW+dmQ HSxrhSx
156r.02	28	I	la peine de la veoir, trouverés que	W+ HxDrx hx W+ zox:iS QS:zoioxSxm Tzox
156r.03	29	I	contient advertissemens de grand	f:rQixrQ +hioxSQDmmxppxrm hx dS+rh
156r.04	31	I	consequance, mesmes des desordres	f3xrnnxTzo+rfx ppxmppxm hxm hxnnx3shSxm
156r.05	26	I	que se commectent et continuent	Tzox nnx f:ppppxfQxrQ i+ f:rQDrzoxrQ
156r.06	27	I	journelement par ces rebelles de	D:SrxWxppxrQ H+S nnxnn SxdxWWxm hx
156r.07	26	I	pardeça. Il est besoing que le roy et	Qhxf+ DW xmQ dxm:Drd Tzox Wx D i+7
156r.08	34	I	vostre grandeur y pourvoie promptement.	zo:nnQSx dS+rhxioS e H:iosio:ex HS:ppHQxppxrQ
156r.09	31	I	Le langaige que les rebelles tienent	Wx W+xd+nSx Tzox Wxnn SxdxWWxm QixrffeQ
156r.10	33	I	entre eulx, ainsi que j'ay peu descouvrir,	ffrQSx xioW3 DppimDr te Tzo+e Hxzo hxnnf:zoioSs
156r.11	34	I	est qu'ils ne taichent que a gaigner quelque	ffnnQ Ded rx Q+ifgxrQ Tzox D d+idrxs TzoxWTzox
156r.12	28	I	peu de temps pour avoir le secours qu'ils	Hxzo hx QxppHnn Z +zo:iS Wx mxf:zosm Ded
156r.13	29	I	se tienent asseures d'ung prince et	mx QixrxrQ +mmxzoSxm hioxrd HsDrfx e+
156r.14	29	I	de quelques estrangiers du costé	hx TzoxWTzoxm xmQS+rdixSm hio f:zomQx
156r.15	26	I	de Geneve et cantons de Suisses,	hx dxrxiox i+ f+rQ:rm hx m:emimxnn
156r.16	25	I	entre les mains duquel prince	ffrQSx Wxnn pp+Drm hioTzoxW HSDrfx
156r.17	27	I	s'asseurent mectre deux villes	nn+nnnnxioSxrQ ppxfQSx  hzxio3 zoDWWxm
156r.18	26	I	fortes et de frontiere de ceste	7:SQxm i+ hx 7sx.rQixSx hx fxmQx
156r.19	31	I	Guyenne. Il est tresnecessaire que le	dzoxxrrx DW xmQ QSxmrxfxmm+iSx Tnx Wx
156r.20	26	I	roy et vostre grandeur y pourvoyés	D 7xi+ zo:mQSx dS+rhxzoS e  Zx:ex3
156r.21	29	I	diligement, vous asseurant qu'il se y	hiWWidxppxrQ Je +mnnxzoS+rQ TzoxW mx e
156r.22	30	I	faict de grands menees et avec telles	7+ifQ hx dS+rh3 ppxrxffm i+ eioxf QxWWxm
156r.23	32	I	intelligences de tant d'endroicts que	DrQxWWidxrfxm hx Q+rQ hxrhS:ifQ3 Tzox
156r.24	29	I	je ne scai qu'il en pourra advenir. Je	Dx rx nnf+e TzoiW xr H:zoSS+ +hioxreS Dx
156r.25	28	I	n'en oserois escripre plus avant	rxr Dzonnxs:enn xnnfSDHSx HWzonn +zo+rQ
156r.26	29	I	que je ne sois mieulx certioré des	Tzox dff rff m:em sppdxzoW3 fxsQD:Sx hxm
156r.27	6	I	choses.	fg:mxnn
156r.28	31	I	Monsieur de Fumel, qu'est mon prochain	pp:rnnDxzos hx 7zoppxW TzoxmQ pp:r Hs:fg+Dr
156r.29	33	I	voisin, est arrivé de la court puis peu	zo:emiDr xmQ +sssDzox hx W+ f:zosQ Hzoem Hxzo
156r.30	29	I	de jours et puis sadicte venue il use	hx D:zosm e+ Hzoxm m+hifQx zoxrzox DW zomx
156v.01	30	I	contre moi de grands menasses, je n'ai	f:rQSx pp:e hx dS+rh3 ppxr+mmxnn Dx r+e
156v.02	29	I	peu scavoir les occasions. Je avois	Hxzo mf+zo:eS Wxm xff+miD:rm Dx Dzo+dnn
156v.03	27	I	baillé ung pacquet audict sieur de	d+iWWx zod zord H+fTzoxQ DzohifQ F hx
156v.04	27	I	Fumel en s'en allant a la court pour le	7zoppxW xr nnxr DWW+rQ +W+ f:zoSQ Z Wx
156v.05	29	I	faire tenir a vostre grandeur, ou il	7+iSx QxrdS + zo:mQSx dS+rhxzoS :zo DW
156v.06	27	I	y avoit advertissemens de grand	e Dzo:dQ +hioxSQDmmxppxrm hx dS+rh
156v.07	28	I	consequance, ensemble une lettre	f:rmxTzo+rfx ffrmxppdWx zorx WxfQSx
156v.08	25	I	que le chief m'avoit escripte. Je	Tzox Wx fgix7 pp+zoiQ xmfSDHQx Dx
156v.09	28	I	supplie vostre grandeur me faire	 nnzoHHWix zo:nnQSx dS+rhxzoS ppx 7+iSx
156v.10	25	I	advertir si avés receu ledict	+hioxSQDS mD +zox3 Sxfxzo WxhifQ
156v.11	28	I	pacquet, advertissemens et lettre	H+fTzoxQ +hioxSQDmmxppxrm i+ WxfQSx
156v.12	11	I	dudict chief.	hiohifQ fgix7
156v.13	28	I	J'ai aussi receu presentement une	D+e +zommD Sxfxzo HSxmxrQxppxrQ zorx
156v.14	25	I	lettre du garde des sceaulx du	WxfQSx hio d+Shx hxm mfx+zoW3 hzo
156v.15	31	I	siege presidial de Cahors, laquelle	nnDxdx HSxnnDhieW hx Deg:zoSm W+TzoxWWx
156v.16	22	I	vous envoie, et par icelle vostre	Je xrio:ex e+ K DfxWWx zo:nnQSx
156v.17	25	I	grandeur pourra entendre les	dS+rhxzoS H:zoSS+ xrQxrhSx Wxm
156v.18	24	I	desordres que se commectent	hxm:ShSxm Tzox mx f:ppppxfQxrQ
156v.19	27	I	journellement par les rebelles	DxzoSrxWWxppxrQ H+S Wxm SxdxWWxm
156v.20	20	I	es provinces de pardeça.	xm Hs:zoDrfxm hx H+Shxf+
157v.01	14	I	Advertissemens.	+hioxSQDmmxppxrm
